symbol,report_type,fiscal_date,reported_currency,totalAssets,totalCurrentAssets,cashAndCashEquivalentsAtCarryingValue,cashAndShortTermInvestments,inventory,currentNetReceivables,totalNonCurrentAssets,propertyPlantEquipment,accumulatedDepreciationAmortizationPPE,intangibleAssets,intangibleAssetsExcludingGoodwill,goodwill,investments,longTermInvestments,shortTermInvestments,otherCurrentAssets,otherNonCurrentAssets,totalLiabilities,totalCurrentLiabilities,currentAccountsPayable,deferredRevenue,currentDebt,shortTermDebt,totalNonCurrentLiabilities,capitalLeaseObligations,longTermDebt,currentLongTermDebt,longTermDebtNoncurrent,shortLongTermDebtTotal,otherCurrentLiabilities,otherNonCurrentLiabilities,totalShareholderEquity,treasuryStock,retainedEarnings,commonStock,commonStockSharesOutstanding
UNH,quarterly,2011-12-31,USD,67889000000,20350000000,9429000000,12006000000,1087000000,2294000000,47539000000,2515000000,2440000000,26770000000,2795000000,23975000000,18795000000,16166000000,2577000000,3795000000,2088000000,39597000000,23922000000,0,0,982000000,982000000,10656000000,0,10656000000,982000000,10656000000,14083000000,5063000000,1223000000,28292000000,0,27821000000,10000000,1039000000
UNH,quarterly,2011-09-30,USD,70910000000,24508000000,13679000000,16377000000,-16377000000,2234000000,46402000000,2388000000,0,26578000000,2855000000,23723000000,18104000000,15398000000,2698000000,3755000000,2038000000,43038000000,28618000000,0,0,2364000000,2364000000,9555000000,0,9555000000,2364000000,9555000000,11919000000,13175000000,2443000000,27872000000,0,27464000000,11000000,1054000000
UNH,quarterly,2011-06-30,USD,66115000000,20429000000,9775000000,12307000000,-12307000000,2851000000,43384000000,2302000000,0,26301000000,2878000000,23423000000,17472000000,14935000000,2532000000,3310000000,2148000000,38752000000,24374000000,0,0,1689000000,1689000000,9442000000,0,9442000000,1689000000,9442000000,11131000000,11690000000,2448000000,27363000000,0,27020000000,11000000,1069000000
UNH,quarterly,2011-03-31,USD,65335000000,19818000000,9790000000,12150000000,-12150000000,2495000000,43328000000,2189000000,0,26286000000,2893000000,23393000000,17296000000,14932000000,2360000000,3346000000,2110000000,38764000000,24527000000,0,0,2286000000,2286000000,9359000000,0,9359000000,2286000000,9359000000,11645000000,11316000000,2442000000,26571000000,0,26353000000,11000000,1077000000
UNH,quarterly,2010-12-31,USD,63063000000,18393000000,9123000000,11195000000,944000000,2061000000,43497000000,2200000000,2779000000,25655000000,2910000000,22745000000,16822000000,14707000000,2072000000,3494000000,2108000000,37238000000,23700000000,0,0,2480000000,2480000000,8662000000,0,8662000000,2480000000,8662000000,13503000000,10467000000,4876000000,25825000000,0,25562000000,11000000,1086000000
UNH,quarterly,2010-09-30,USD,63023000000,18256000000,9577000000,11003000000,-11003000000,2082000000,44767000000,2033000000,0,25863000000,3008000000,22855000000,16182000000,14749000000,1426000000,3463000000,2122000000,37412000000,24442000000,0,0,2929000000,2929000000,10629000000,0,8076000000,2929000000,8076000000,11005000000,20403000000,2553000000,25611000000,0,25109000000,11000000,1099000000
UNH,quarterly,2010-06-30,USD,60424000000,18982000000,9983000000,11073000000,-11073000000,2766000000,41442000000,2069000000,0,23242000000,2257000000,20985000000,15115000000,14019000000,1090000000,3333000000,2112000000,35595000000,23103000000,0,0,2676000000,2676000000,10168000000,0,8036000000,2676000000,8036000000,13036000000,19435000000,2132000000,24829000000,0,24465000000,11000000,1115000000
UNH,quarterly,2010-03-31,USD,59541000000,18379000000,9920000000,11075000000,-11075000000,2309000000,41162000000,2070000000,0,23127000000,2297000000,20830000000,0,13835000000,1155000000,3331000000,2130000000,35222000000,22942000000,0,0,2522000000,2522000000,9957000000,0,8001000000,2522000000,8001000000,12846000000,19276000000,1956000000,24319000000,0,24056000000,11000000,1133000000
UNH,quarterly,2009-12-31,USD,59045000000,18200000000,9800000000,11039000000,986000000,1954000000,40845000000,946000000,2738000000,23108000000,2381000000,20727000000,14554000000,13311000000,1239000000,3369000000,2286000000,35439000000,22163000000,0,0,2164000000,2164000000,10951000000,0,9009000000,2164000000,9009000000,11173000000,9420000000,1942000000,23606000000,0,23342000000,11000000,1147000000
UNH,quarterly,2009-09-30,USD,57449000000,17304000000,9535000000,10501000000,-10501000000,0,40145000000,2054000000,0,22692000000,2330000000,20362000000,0,13231000000,966000000,3229000000,2168000000,34551000000,19745000000,0,0,500000000,500000000,12499000000,0,10690000000,500000000,10690000000,11190000000,18194000000,1809000000,22898000000,0,22476000000,12000000,1153000000
UNH,quarterly,2009-06-30,USD,55890000000,15684000000,7247000000,8155000000,-8155000000,0,40206000000,2080000000,0,22755000000,2397000000,20358000000,0,13163000000,908000000,3303000000,2208000000,34345000000,19652000000,0,0,1012000000,1012000000,12397000000,0,10707000000,0,10707000000,11719000000,17664000000,1690000000,21545000000,0,21440000000,11000000,1151000000
MDT,annual,2024-04-26,USD,89981000000,21935000000,1284000000,8005000000,5217000000,6128000000,69058000000,6131000000,0,54211000000,13225000000,40986000000,7035000000,395000000,6721000000,2584000000,4047000000,39561000000,10789000000,2410000000,453000000,1092000000,1073000000,31412000000,55000000,50213000000,1086000000,0,51286000000,3582000000,1365000000,50214000000,0,30403000000,0,1311337531
MDT,annual,2023-04-28,USD,90948000000,21675000000,1543000000,7959000000,5293000000,5998000000,70315000000,5569000000,0,56269000000,14844000000,41425000000,899000000,0,6416000000,2425000000,3959000000,39283000000,9051000000,2662000000,405000000,20000000,13000000,32901000000,57000000,48918000000,20000000,21700000000,48918000000,3581000000,1727000000,51483000000,0,30392000000,0,1330809036
MDT,annual,2022-04-29,USD,90981000000,23059000000,3714000000,10573000000,4616000000,5551000000,68775000000,5413000000,7952000000,56097000000,15595000000,40502000000,6893000000,0,6859000000,2318000000,3008000000,38260000000,12394000000,2276000000,399000000,3742000000,3736000000,27356000000,56000000,48389000000,3742000000,22900000000,48389000000,3551000000,1410000000,52551000000,0,30250000000,0,1330743395
MDT,annual,2021-04-30,USD,93083000000,22548000000,3593000000,10817000000,4313000000,5462000000,71532000000,5221000000,7479000000,59701000000,17740000000,41961000000,7257000000,0,7224000000,1955000000,2443000000,41481000000,8509000000,2106000000,368000000,11000000,2000000,34608000000,62000000,52976000000,11000000,28600000000,52976000000,3475000000,1756000000,51428000000,0,28594000000,0,1345400671
MDT,annual,2020-04-24,USD,90689000000,22031000000,4140000000,10948000000,4229000000,4645000000,69585000000,4828000000,6816000000,58904000000,19063000000,39841000000,6841000000,0,6808000000,2209000000,2094000000,39817000000,10366000000,1996000000,303000000,2776000000,19837000000,31136000000,45000000,29876000000,2776000000,22140000000,49713000000,2993000000,1664000000,50737000000,0,28132000000,0,1341074724
MDT,annual,2019-04-26,USD,89694000000,21967000000,4393000000,9848000000,3753000000,6222000000,67727000000,4675000000,6245000000,60519000000,20560000000,39959000000,5499000000,416000000,5455000000,2144000000,1014000000,39482000000,8472000000,1953000000,315000000,838000000,23667000000,31987000000,16000000,27038000000,838000000,24552000000,50705000000,2925000000,757000000,50091000000,0,26270000000,0,1340697595
MDT,annual,2018-04-27,USD,91393000000,22980000000,3669000000,11227000000,3579000000,5987000000,66966000000,4604000000,5655000000,61266000000,21723000000,39543000000,7764000000,18000000,7558000000,2187000000,1078000000,40571000000,10084000000,1628000000,289000000,2058000000,24355000000,29932000000,26000000,27158000000,2058000000,23692000000,51513000000,3431000000,889000000,50720000000,0,24379000000,0,1354218154
MDT,annual,2017-04-28,USD,99857000000,24873000000,4967000000,13708000000,3338000000,5591000000,73434000000,4361000000,5330000000,61922000000,23407000000,38515000000,8889000000,736000000,8741000000,1865000000,1232000000,49527000000,14264000000,1555000000,0,7520000000,28875000000,34102000000,28000000,37894000000,7494000000,25874000000,66769000000,2618000000,1515000000,50208000000,0,23270000000,0,1369424818
MDT,annual,2016-04-29,USD,99644000000,23600000000,2876000000,12634000000,3473000000,5562000000,74799000000,4841000000,4873000000,68399000000,26899000000,41500000000,9888000000,739000000,9758000000,1931000000,1421000000,47581000000,7165000000,1709000000,0,993000000,31295000000,43254000000,0,30793000000,993000000,29944000000,62088000000,2185000000,1916000000,52063000000,0,21704000000,0,1399018022
MDT,annual,2015-04-24,USD,106685000000,30844000000,4843000000,19480000000,3463000000,5112000000,75773000000,4699000000,4164000000,68631000000,28101000000,40530000000,14823000000,706000000,14637000000,3290000000,1737000000,53455000000,9173000000,1610000000,0,2434000000,15000000,46875000000,0,37019000000,2419000000,33171000000,37034000000,2464000000,1819000000,53230000000,0,54414000000,0,1421648005
MDT,annual,2014-04-25,USD,37943000000,21210000000,1403000000,14241000000,1725000000,0,16733000000,2392000000,4047000000,12879000000,2286000000,10593000000,12993000000,821000000,12838000000,1433000000,1162000000,18500000000,5559000000,742000000,0,1613000000,1613000000,12928000000,0,10315000000,11939000000,11856000000,11928000000,2006000000,235000000,19443000000,0,19940000000,100000000,998999125
MDT,quarterly,2025-01-24,USD,89973000000,22513000000,1240000000,7922000000,5610000000,6115000000,67848000000,6593000000,0,53003000000,12184000000,40819000000,7754000000,388000000,6682000000,2865000000,4250000000,40358000000,11840000000,2286000000,462000000,2622000000,2622000000,28518000000,50000000,23935000000,2622000000,0,-172000000,3526000000,1533000000,49387000000,0,31317000000,0,1283266154
MDT,quarterly,2024-10-25,USD,90042000000,22438000000,1394000000,7989000000,5479000000,6260000000,67603000000,6438000000,0,53584000000,12423000000,41161000000,7181000000,0,6595000000,2710000000,4009000000,41326000000,12195000000,2376000000,467000000,3719000000,3719000000,29130000000,50000000,24557000000,3719000000,0,-181000000,3260000000,1534000000,48494000000,0,30919000000,0,1282553150
MDT,quarterly,2024-07-26,USD,89749000000,21947000000,1311000000,7843000000,5414000000,6011000000,67801000000,6282000000,0,53903000000,12819000000,41084000000,7199000000,0,6532000000,2679000000,4062000000,41589000000,10287000000,2291000000,461000000,1553000000,1553000000,31302000000,52000000,26260000000,1553000000,0,-189000000,3604000000,1470000000,47947000000,0,30547000000,0,1282494588
MDT,quarterly,2024-04-26,USD,89981000000,21935000000,1284000000,8005000000,5217000000,6128000000,69058000000,6131000000,0,54211000000,13225000000,40986000000,7035000000,395000000,6721000000,2584000000,4047000000,39561000000,10789000000,2410000000,453000000,1092000000,1073000000,31412000000,55000000,50213000000,1086000000,0,51286000000,3582000000,1365000000,50214000000,0,30403000000,0,1311337531
MDT,quarterly,2024-01-26,USD,90836000000,22513000000,1623000000,8321000000,5726000000,5968000000,68323000000,5838000000,0,54850000000,13690000000,41160000000,7250000000,0,6698000000,2499000000,4036000000,38840000000,9793000000,1992000000,447000000,1029000000,1029000000,30848000000,56000000,24097000000,1029000000,0,-174000000,3488000000,1410000000,51792000000,0,30661000000,0,1329653024
MDT,quarterly,2023-10-27,USD,90087000000,22081000000,1311000000,7734000000,5754000000,5934000000,68006000000,5735000000,0,54881000000,14060000000,40821000000,7177000000,0,6423000000,2658000000,3962000000,38440000000,9659000000,2174000000,435000000,1339000000,1339000000,30580000000,56000000,23741000000,1339000000,0,-176000000,3299000000,1556000000,51460000000,0,30256000000,0,1330173450
MDT,quarterly,2023-07-28,USD,90776000000,21869000000,1339000000,7876000000,5668000000,5806000000,68908000000,5665000000,0,55870000000,14434000000,41436000000,6992000000,0,6537000000,2518000000,3912000000,39410000000,9047000000,2239000000,425000000,519000000,519000000,32164000000,57000000,24463000000,519000000,0,-185000000,3581000000,1715000000,51178000000,0,30265000000,0,1330498304
MDT,quarterly,2023-04-28,USD,90948000000,21675000000,1543000000,7959000000,5293000000,5998000000,70315000000,5569000000,0,56269000000,14844000000,41425000000,899000000,0,6416000000,2425000000,3959000000,39283000000,9051000000,2662000000,405000000,20000000,13000000,32901000000,57000000,48918000000,20000000,21700000000,48918000000,3581000000,1727000000,51483000000,0,30392000000,0,1330809036
MDT,quarterly,2023-01-27,USD,94134000000,25364000000,4521000000,11137000000,5375000000,5887000000,68770000000,5437000000,8489000000,56830000000,15265000000,41565000000,6991000000,0,6616000000,2965000000,3142000000,42516000000,14422000000,2209000000,403000000,5918000000,5918000000,29795000000,55000000,22210000000,5918000000,0,-173000000,3630000000,1730000000,51441000000,0,30117000000,0,1330376287
MDT,quarterly,2022-10-28,USD,93241000000,25398000000,4828000000,11430000000,5055000000,5626000000,67844000000,5298000000,8199000000,56072000000,15655000000,40417000000,7718000000,0,6602000000,3287000000,3124000000,41184000000,14465000000,2198000000,380000000,5864000000,5864000000,28521000000,55000000,20753000000,5864000000,21100000000,-165000000,4031000000,1435000000,51880000000,0,29799000000,0,1330148578
MDT,quarterly,2022-07-29,USD,89914000000,22135000000,2140000000,8873000000,4809000000,5308000000,67779000000,5281000000,8043000000,56099000000,15775000000,40324000000,7674000000,0,6733000000,3145000000,3088000000,37071000000,14049000000,2180000000,391000000,5729000000,5729000000,23913000000,58000000,17481000000,5729000000,20100000000,-141000000,3816000000,1440000000,52672000000,0,30276000000,0,1329276973
MDT,quarterly,2022-04-29,USD,90981000000,23059000000,3714000000,10573000000,4616000000,5551000000,68775000000,5413000000,7952000000,56097000000,15595000000,40502000000,6893000000,0,6859000000,2318000000,3008000000,38260000000,12394000000,2276000000,399000000,3742000000,3736000000,27356000000,56000000,48389000000,3742000000,22900000000,48389000000,3551000000,1410000000,52551000000,0,30250000000,0,1330743395
MDT,quarterly,2022-01-28,USD,91804000000,23303000000,3479000000,11221000000,4514000000,5446000000,68501000000,5251000000,7823000000,16158000000,16078000000,80000000,7776000000,0,7742000000,2122000000,2517000000,39091000000,8927000000,1985000000,392000000,865000000,865000000,30985000000,58000000,24290000000,865000000,26500000000,-174000000,3542000000,1423000000,52542000000,0,29607000000,0,1342565589
MDT,quarterly,2021-10-29,USD,91756000000,22731000000,2900000000,10669000000,4349000000,5493000000,69025000000,5188000000,7790000000,16603000000,16523000000,80000000,7803000000,0,7769000000,2220000000,2499000000,39596000000,7803000000,1917000000,365000000,16000000,16000000,32612000000,59000000,25607000000,16000000,28000000000,-183000000,3469000000,1547000000,51991000000,0,28974000000,0,1344861769
MDT,quarterly,2021-07-30,USD,91802000000,22434000000,3004000000,10595000000,4288000000,5431000000,69368000000,5162000000,7646000000,58610000000,16890000000,41720000000,7624000000,0,7591000000,2120000000,2409000000,40137000000,7764000000,1864000000,375000000,6000000,6000000,33184000000,56000000,25958000000,6000000,29200000000,-191000000,3652000000,1579000000,51486000000,0,28511000000,0,1344671106
MDT,quarterly,2021-04-30,USD,93083000000,22548000000,3593000000,10817000000,4313000000,5462000000,71532000000,5221000000,7479000000,59701000000,17740000000,41961000000,7257000000,0,7224000000,1955000000,2443000000,41481000000,8509000000,2106000000,368000000,11000000,2000000,34608000000,62000000,52976000000,11000000,28600000000,52976000000,3475000000,1756000000,51428000000,0,28594000000,0,1345400671
MDT,quarterly,2021-01-29,USD,97270000000,26347000000,5077000000,14639000000,4508000000,5215000000,70922000000,5023000000,7375000000,60381000000,18240000000,42141000000,9594000000,0,9562000000,1986000000,2208000000,46342000000,12534000000,1816000000,357000000,3821000000,3821000000,34580000000,65000000,34621000000,3821000000,30800000000,-206000000,3999000000,1768000000,50758000000,0,28015000000,0,1347470889
MDT,quarterly,2020-10-30,USD,95886000000,26036000000,6420000000,14277000000,4484000000,5348000000,69850000000,4938000000,7260000000,59624000000,18412000000,41212000000,7893000000,0,7857000000,1927000000,2112000000,45570000000,12071000000,1902000000,317000000,4041000000,4041000000,34439000000,56000000,33941000000,4041000000,29900000000,-205000000,3589000000,1688000000,50164000000,0,27526000000,0,1345547814
MDT,quarterly,2020-07-31,USD,93906000000,24509000000,6499000000,13012000000,4551000000,4876000000,69397000000,4882000000,7070000000,59384000000,18670000000,40714000000,6548000000,0,6513000000,2070000000,2143000000,43463000000,13086000000,1720000000,317000000,5823000000,5823000000,31311000000,45000000,34723000000,5823000000,28900000000,-113000000,3338000000,1598000000,50296000000,0,27817000000,0,1343318623
MDT,quarterly,2020-04-24,USD,90689000000,22031000000,4140000000,10948000000,4229000000,4645000000,69585000000,4828000000,6816000000,58904000000,19063000000,39841000000,6841000000,0,6808000000,2209000000,2094000000,39817000000,10366000000,1996000000,303000000,2776000000,19837000000,31136000000,45000000,29876000000,2776000000,22140000000,49713000000,2993000000,1664000000,50737000000,0,28132000000,0,1341074724
MDT,quarterly,2020-01-24,USD,92822000000,24043000000,3709000000,11628000000,4122000000,6248000000,69774000000,4764000000,6743000000,59547000000,19456000000,40091000000,7952000000,513000000,7919000000,2045000000,2196000000,40869000000,8735000000,1945000000,303000000,844000000,1013000000,32134000000,47000000,28344000000,844000000,27500000000,-121000000,3580000000,1784000000,51808000000,0,28210000000,0,1340786042
MDT,quarterly,2019-10-25,USD,91053000000,22653000000,3962000000,10398000000,4042000000,6118000000,69389000000,4756000000,6608000000,59727000000,19775000000,39952000000,6480000000,476000000,6436000000,2095000000,2113000000,40334000000,8170000000,1965000000,291000000,875000000,1051000000,32164000000,27000000,28175000000,875000000,27300000000,-126000000,3115000000,1758000000,50578000000,0,27018000000,0,1340375745
MDT,quarterly,2019-07-26,USD,91268000000,22705000000,5080000000,10683000000,3932000000,5894000000,69511000000,4711000000,6425000000,60316000000,20234000000,40082000000,5647000000,416000000,5603000000,2196000000,1991000000,40771000000,8518000000,1906000000,295000000,1458000000,1641000000,32253000000,32000000,29258000000,1458000000,27800000000,-132000000,3147000000,1590000000,50363000000,0,26377000000,0,1340797328
MDT,quarterly,2019-04-26,USD,89694000000,21967000000,4393000000,9848000000,3753000000,6222000000,67727000000,4675000000,6245000000,60519000000,20560000000,39959000000,5499000000,416000000,5455000000,2144000000,1014000000,39482000000,8472000000,1953000000,315000000,838000000,23667000000,31987000000,16000000,27038000000,838000000,24552000000,50705000000,2925000000,757000000,50091000000,0,26270000000,0,1340697595
MDT,quarterly,2019-01-25,USD,88730000000,20877000000,3703000000,9142000000,3866000000,5854000000,66357000000,4593000000,6153000000,60838000000,20835000000,40003000000,5483000000,382000000,5439000000,2015000000,926000000,38789000000,8853000000,1706000000,0,1356000000,1356000000,28580000000,0,26556000000,1356000000,25200000000,13000000,3347000000,719000000,49829000000,0,25769000000,0,1340592569
MDT,quarterly,2018-10-26,USD,88150000000,21653000000,3911000000,10133000000,3763000000,5743000000,65083000000,4536000000,5976000000,59424000000,20819000000,38605000000,6266000000,565000000,6222000000,2014000000,1123000000,38436000000,8463000000,1742000000,0,1343000000,1343000000,28648000000,0,26143000000,1343000000,24800000000,12000000,3179000000,724000000,49607000000,0,25171000000,0,1346179202
MDT,quarterly,2018-07-27,USD,89721000000,22460000000,4380000000,11004000000,3681000000,5674000000,65848000000,4524000000,5812000000,60225000000,21270000000,38955000000,6668000000,555000000,6624000000,2101000000,1099000000,39392000000,9112000000,1789000000,0,1545000000,1545000000,28933000000,0,26845000000,1545000000,25300000000,13000000,3623000000,801000000,50224000000,0,24730000000,0,1351728548
MDT,quarterly,2018-04-27,USD,91393000000,22980000000,3669000000,11227000000,3579000000,5987000000,66966000000,4604000000,5655000000,61266000000,21723000000,39543000000,7764000000,18000000,7558000000,2187000000,1078000000,40571000000,10084000000,1628000000,289000000,2058000000,24355000000,29932000000,0,27158000000,2058000000,23692000000,51513000000,3431000000,889000000,50720000000,0,24379000000,0,1354218154
MDT,quarterly,2018-01-26,USD,95800000000,26607000000,6358000000,14436000000,3751000000,5775000000,67656000000,4517000000,5489000000,61973000000,22178000000,39795000000,8316000000,666000000,8078000000,2645000000,1166000000,45460000000,10933000000,1809000000,0,2902000000,2902000000,33164000000,0,32202000000,2902000000,29300000000,9000000,3652000000,964000000,50234000000,0,23426000000,0,1355260722
MDT,quarterly,2017-10-27,USD,94458000000,25162000000,5529000000,13526000000,3638000000,5752000000,67547000000,4441000000,5674000000,61702000000,22625000000,39077000000,8240000000,0,7997000000,2246000000,1404000000,42880000000,10496000000,1718000000,0,3131000000,3131000000,30543000000,0,32631000000,3131000000,29500000000,8000000,3273000000,933000000,51469000000,0,25438000000,0,1353591988
MDT,quarterly,2017-07-28,USD,100250000000,24779000000,4691000000,13088000000,3538000000,5784000000,73873000000,4387000000,5503000000,62202000000,23006000000,39196000000,8543000000,0,8397000000,2000000000,1284000000,49463000000,15148000000,1759000000,0,8058000000,8058000000,31705000000,0,38958000000,8058000000,30900000000,6000000,3251000000,1026000000,50672000000,0,24043000000,0,1361900000
MDT,quarterly,2017-04-28,USD,99857000000,24873000000,4967000000,13708000000,3338000000,5591000000,73434000000,4361000000,5330000000,61922000000,23407000000,38515000000,8889000000,194000000,8741000000,1865000000,1232000000,49527000000,14264000000,1555000000,0,7520000000,28875000000,34102000000,0,37894000000,7494000000,25874000000,66769000000,2618000000,1515000000,50208000000,0,23270000000,0,1369424818
MDT,quarterly,2017-01-27,USD,97578000000,22423000000,2768000000,11458000000,3720000000,5453000000,73671000000,4947000000,5489000000,67433000000,26209000000,41224000000,8855000000,0,8690000000,1792000000,1291000000,48085000000,12672000000,1557000000,0,6226000000,6226000000,35413000000,0,4000000,6226000000,28600000000,4000000,2547000000,1710000000,49387000000,0,52266000000,0,1372200000
MDT,quarterly,2016-10-28,USD,98406000000,22526000000,2954000000,11257000000,3717000000,5661000000,74630000000,4891000000,5309000000,68446000000,26739000000,41707000000,8433000000,0,8303000000,1891000000,1293000000,48113000000,9601000000,1659000000,0,3367000000,3367000000,38512000000,0,131000000,32441000000,29500000000,131000000,3098000000,1599000000,50186000000,0,52514000000,0,1380000000
MDT,quarterly,2016-07-29,USD,98601000000,23498000000,3060000000,12810000000,3580000000,5357000000,73871000000,4814000000,5103000000,67746000000,26437000000,41309000000,9924000000,0,9750000000,1751000000,1311000000,47709000000,7896000000,1615000000,0,1947000000,1947000000,39813000000,0,198000000,32152000000,30500000000,198000000,3129000000,1785000000,50824000000,0,52848000000,0,1392200000
MDT,quarterly,2016-04-29,USD,99644000000,23600000000,2876000000,12634000000,3473000000,5562000000,74799000000,4841000000,4873000000,68399000000,26899000000,41500000000,9888000000,739000000,9758000000,1931000000,1421000000,47581000000,7165000000,1709000000,0,993000000,31295000000,43254000000,0,30793000000,993000000,29944000000,62088000000,2185000000,1916000000,52063000000,0,21704000000,0,1399018022
MDT,quarterly,2016-01-29,USD,102706000000,27569000000,2721000000,17286000000,3536000000,4863000000,74077000000,4636000000,4710000000,67692000000,27316000000,40376000000,14767000000,0,14565000000,1382000000,1749000000,51890000000,8141000000,1437000000,0,2153000000,2153000000,46385000000,0,421000000,0,31781000000,421000000,2616000000,1859000000,50816000000,0,53781000000,0,1406600000
MDT,quarterly,2015-10-30,USD,104945000000,28723000000,2378000000,17229000000,3516000000,5044000000,75397000000,4678000000,4537000000,69005000000,27731000000,41274000000,15053000000,0,14851000000,1315000000,1714000000,52676000000,8126000000,1447000000,0,2158000000,2158000000,47147000000,0,440000000,0,31913000000,440000000,2457000000,1746000000,52269000000,0,53740000000,0,1412900000
MDT,quarterly,2015-07-31,USD,104626000000,29147000000,2979000000,17982000000,3404000000,4811000000,75368000000,4672000000,4354000000,68356000000,27699000000,40657000000,15167000000,661000000,15003000000,1460000000,1679000000,51817000000,7660000000,1321000000,0,1850000000,1850000000,46713000000,0,458000000,0,31924000000,458000000,2721000000,1657000000,52809000000,0,54165000000,0,1418100000
MDT,quarterly,2015-04-24,USD,106685000000,30844000000,4843000000,19480000000,3463000000,5112000000,75773000000,4699000000,4164000000,68631000000,28101000000,40530000000,14823000000,706000000,14637000000,1454000000,1737000000,53455000000,9173000000,1610000000,0,2434000000,15000000,46875000000,0,37019000000,2419000000,33171000000,37034000000,2464000000,1819000000,53230000000,0,54414000000,0,1421648005
MDT,quarterly,2015-01-23,USD,46000000000,46000,17231000000,17231000000,1875000000,0,17072000000,2326000000,0,2339000000,2339000000,10950000000,0,0,13917000000,952000000,0,37000000,37000000,37000000,0,0,2185000000,29447000000,0,26641000000,0,0,28742000000,2620000000,0,-36954000,0,20735000000,0,983800000
